case:concept:name;concept:dataobj;concept:operation;time:timestamp;concept:resource;concept:instance;lifecycle:transition
case_0;Management;r;2025-07-31 12:37:53.754479822+00:00;re5, re6, re7, re8, re9;1;complete
case_0;Management;u;2025-07-31 13:21:59.479804770+00:00;re5, re6, re7, re8, re9;1;complete
case_0;Management;r;2025-07-31 14:14:58.742640513+00:00;re12, re13;2;complete
case_0;Management;u;2025-07-31 13:53:19.071508806+00:00;re12, re13;2;complete
case_0;Management;d;2025-07-31 14:09:45.176410690+00:00;re12, re13;2;complete
case_0;Management;u;2025-07-31 14:38:29.527385138+00:00;re2, re4, re5;3;complete
case_0;Management;c;2025-07-31 15:36:31.469295366+00:00;re2, re4, re5;4;complete
case_0;Management;r;2025-07-31 16:32:51.599335402+00:00;re2, re4, re5;4;complete
case_0;Management;u;2025-07-31 16:27:16.652515420+00:00;re2, re4, re5;4;complete
case_0;Management;d;2025-07-31 16:19:00.527545074+00:00;re2, re4, re5;4;complete
case_0;Management;u;2025-07-31 17:07:22.469737800+00:00;re12, re13;5;complete
case_0;Management;c;2025-07-31 17:35:07.077366777+00:00;re2, re4, re5;6;complete
case_0;Management;r;2025-07-31 17:32:10.677004999+00:00;re2, re4, re5;6;complete
case_0;Management;u;2025-07-31 18:14:08.518897260+00:00;re2, re4, re5;6;complete
case_0;Management;d;2025-07-31 17:41:25.628006836+00:00;re2, re4, re5;6;complete
case_0;Requirements;u;2025-07-31 18:04:47.530203814+00:00;re2, re4, re5;6;complete
case_0;Management;c;2025-07-31 18:47:20.287889395+00:00;re5, re6, re7, re8, re9;7;complete
case_0;Management;u;2025-07-31 18:27:35.127613241+00:00;re5, re6, re7, re8, re9;7;complete
case_0;Management;d;2025-07-31 19:16:12.134237239+00:00;re5, re6, re7, re8, re9;7;complete
case_0;Requirements;u;2025-07-31 18:22:17.347790057+00:00;re5, re6, re7, re8, re9;7;complete
case_0;Management;r;2025-07-31 20:00:27.817991966+00:00;re12, re13;8;complete
case_0;Management;u;2025-07-31 19:14:36.117320716+00:00;re12, re13;8;complete
case_0;Management;d;2025-07-31 18:43:03.415262017+00:00;re12, re13;8;complete
case_0;Code;r;2025-07-31 19:39:24.149370372+00:00;re12, re13;8;complete
case_0;Requirements;r;2025-07-31 18:39:00.786536008+00:00;re12, re13;8;complete
case_0;Requirements;u;2025-07-31 20:25:21.418059165+00:00;re12, re13;8;complete
case_0;Requirements;d;2025-07-31 20:21:30.014901846+00:00;re12, re13;8;complete
case_0;Management;c;2025-07-31 21:36:35.465117241+00:00;re12, re13;9;complete
