time:timestamp;lifecycle:transition;concept:name;case:concept:name;concept:resource;concept:instance
2025-08-04 21:44:27.457008+00:00;begin;Management;case_0;re7;1
2025-08-04 23:44:27.457008+00:00;complete;Management;case_0;re7;1
2025-08-04 22:16:53.457008+00:00;begin;Management;case_0;re8;2
2025-08-05 00:16:53.457008+00:00;complete;Management;case_0;re8;2
2025-08-04 23:17:51.457008+00:00;begin;Management;case_0;re7;3
2025-08-05 01:17:51.457008+00:00;complete;Management;case_0;re7;3
2025-08-05 00:31:23.457008+00:00;begin;Management;case_0;re6;4
2025-08-05 02:31:23.457008+00:00;complete;Management;case_0;re6;4
2025-08-05 01:31:21.457008+00:00;begin;Management;case_0;re7;5
2025-08-05 03:31:21.457008+00:00;complete;Management;case_0;re7;5
2025-08-05 02:37:34.457008+00:00;begin;Management;case_0;re7;6
2025-08-05 04:37:34.457008+00:00;complete;Management;case_0;re7;6
2025-08-05 02:58:26.457008+00:00;begin;Update Requirements;case_0;re6;7
2025-08-05 04:58:26.457008+00:00;complete;Update Requirements;case_0;re6;7
2025-08-05 04:14:08.457008+00:00;begin;Update Requirements;case_0;re8;8
2025-08-05 06:14:08.457008+00:00;complete;Update Requirements;case_0;re8;8
2025-08-05 05:18:47.457008+00:00;begin;Update Requirements;case_0;re8;9
2025-08-05 07:18:47.457008+00:00;complete;Update Requirements;case_0;re8;9
2025-08-05 06:06:00.457008+00:00;begin;Update Requirements;case_0;re9;10
2025-08-05 08:06:00.457008+00:00;complete;Update Requirements;case_0;re9;10
2025-08-05 07:11:07.457008+00:00;begin;Update Requirements;case_0;re9;11
2025-08-05 09:11:07.457008+00:00;complete;Update Requirements;case_0;re9;11
2025-08-05 08:17:48.457008+00:00;begin;Update Requirements;case_0;re7;12
2025-08-05 10:17:48.457008+00:00;complete;Update Requirements;case_0;re7;12
2025-08-05 09:44:03.457008+00:00;begin;Update Requirements;case_0;re6;13
2025-08-05 11:44:03.457008+00:00;complete;Update Requirements;case_0;re6;13
2025-08-05 10:42:02.457008+00:00;begin;Update Requirements;case_0;re9;14
2025-08-05 12:42:02.457008+00:00;complete;Update Requirements;case_0;re9;14
2025-08-05 11:45:10.457008+00:00;begin;Functionality Maintenance;case_0;re9;15
2025-08-05 13:45:10.457008+00:00;complete;Functionality Maintenance;case_0;re9;15
2025-08-05 12:16:21.457008+00:00;begin;Functionality Maintenance;case_0;re6;16
2025-08-05 14:16:21.457008+00:00;complete;Functionality Maintenance;case_0;re6;16
2025-08-05 13:13:41.457008+00:00;begin;Functionality Maintenance;case_0;re6;17
2025-08-05 15:13:41.457008+00:00;complete;Functionality Maintenance;case_0;re6;17
2025-08-05 14:49:09.457008+00:00;begin;Functionality Maintenance;case_0;re6;18
2025-08-05 16:49:09.457008+00:00;complete;Functionality Maintenance;case_0;re6;18
2025-08-05 15:37:59.457008+00:00;begin;Functionality Maintenance;case_0;re7;19
2025-08-05 17:37:59.457008+00:00;complete;Functionality Maintenance;case_0;re7;19
2025-08-05 16:24:59.457008+00:00;begin;Functionality Maintenance;case_0;re6;20
2025-08-05 18:24:59.457008+00:00;complete;Functionality Maintenance;case_0;re6;20
2025-08-05 17:33:20.457008+00:00;begin;Functionality Maintenance;case_0;re6;21
2025-08-05 19:33:20.457008+00:00;complete;Functionality Maintenance;case_0;re6;21
2025-08-05 18:44:00.457008+00:00;begin;Functionality Maintenance;case_0;re7;22
2025-08-05 20:44:00.457008+00:00;complete;Functionality Maintenance;case_0;re7;22
2025-08-05 19:17:16.457008+00:00;begin;Functionality Maintenance;case_0;re8;23
2025-08-05 21:17:16.457008+00:00;complete;Functionality Maintenance;case_0;re8;23
2025-08-05 20:27:45.457008+00:00;begin;Functionality Maintenance;case_0;re7;24
2025-08-05 22:27:45.457008+00:00;complete;Functionality Maintenance;case_0;re7;24
2025-08-04 21:54:06.457008+00:00;begin;Management;case_1;re13;1
2025-08-04 23:54:06.457008+00:00;complete;Management;case_1;re13;1
2025-08-04 22:06:50.457008+00:00;begin;Management;case_1;re12;2
2025-08-05 00:06:50.457008+00:00;complete;Management;case_1;re12;2
2025-08-04 23:10:42.457008+00:00;begin;Management;case_1;re13;3
2025-08-05 01:10:42.457008+00:00;complete;Management;case_1;re13;3
2025-08-05 00:55:54.457008+00:00;begin;Management;case_1;re13;4
2025-08-05 02:55:54.457008+00:00;complete;Management;case_1;re13;4
2025-08-05 01:29:21.457008+00:00;begin;Management;case_1;re13;5
2025-08-05 03:29:21.457008+00:00;complete;Management;case_1;re13;5
2025-08-05 02:08:50.457008+00:00;begin;Management;case_1;re13;6
2025-08-05 04:08:50.457008+00:00;complete;Management;case_1;re13;6
2025-08-05 03:13:32.457008+00:00;begin;Management;case_1;re12;7
2025-08-05 05:13:32.457008+00:00;complete;Management;case_1;re12;7
2025-08-05 04:25:26.457008+00:00;begin;Management;case_1;re13;8
2025-08-05 06:25:26.457008+00:00;complete;Management;case_1;re13;8
2025-08-05 05:29:19.457008+00:00;begin;Management;case_1;re13;9
2025-08-05 07:29:19.457008+00:00;complete;Management;case_1;re13;9
2025-08-05 06:14:33.457008+00:00;begin;Management;case_1;re13;10
2025-08-05 08:14:33.457008+00:00;complete;Management;case_1;re13;10
2025-08-05 07:50:44.457008+00:00;begin;Management;case_1;re12;11
2025-08-05 09:50:44.457008+00:00;complete;Management;case_1;re12;11
2025-08-05 08:43:33.457008+00:00;begin;Management;case_1;re12;12
2025-08-05 10:43:33.457008+00:00;complete;Management;case_1;re12;12
2025-08-05 09:09:19.457008+00:00;begin;Management;case_1;re13;13
2025-08-05 11:09:19.457008+00:00;complete;Management;case_1;re13;13
2025-08-05 10:49:14.457008+00:00;begin;Update Requirements;case_1;re13;14
2025-08-05 12:49:14.457008+00:00;complete;Update Requirements;case_1;re13;14
2025-08-05 11:46:44.457008+00:00;begin;Functionality Maintenance;case_1;re12;15
2025-08-05 13:46:44.457008+00:00;complete;Functionality Maintenance;case_1;re12;15
2025-08-05 12:32:37.457008+00:00;begin;Functionality Maintenance;case_1;re13;16
2025-08-05 14:32:37.457008+00:00;complete;Functionality Maintenance;case_1;re13;16
2025-08-05 13:10:10.457008+00:00;begin;Functionality Maintenance;case_1;re12;17
2025-08-05 15:10:10.457008+00:00;complete;Functionality Maintenance;case_1;re12;17
2025-08-05 14:10:18.457008+00:00;begin;Functionality Maintenance;case_1;re13;18
2025-08-05 16:10:18.457008+00:00;complete;Functionality Maintenance;case_1;re13;18
2025-08-05 15:54:31.457008+00:00;begin;Functionality Maintenance;case_1;re12;19
